particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Opening Balance,,,,,,0.000000
Funds added using UPI UM9226 with reference number 33610352923    ,2020-12-01,NSE-EQ - Z,Bank Receipts,0.000000,8725.000000,8725.000000
Net settlement  for  NSE-Equity with settlement number: 2020231,2020-12-01,NSE-EQ - Z,Book Voucher,8691.149049,0.000000,33.850951
Funds added using UPI UM9226 with reference number 34211084396    ,2020-12-07,NSE-EQ - Z,Bank Receipts,0.000000,2000.000000,2033.850951
Net settlement  for  NSE-Equity with settlement number: 2020235,2020-12-07,NSE-EQ - Z,Book Voucher,2018.134011,0.000000,15.716940
Funds added using UPI UM9226 with reference number 34309328187    ,2020-12-08,NSE-EQ - Z,Bank Receipts,0.000000,1030.000000,1045.716940
Net settlement  for  NSE-Equity with settlement number: 2020236,2020-12-08,NSE-EQ - Z,Book Voucher,1007.550903,0.000000,38.166037
Funds added using UPI UM9226 with reference number 34913481916    ,2020-12-14,NSE-EQ - Z,Bank Receipts,0.000000,14300.000000,14338.166037
Net settlement  for  NSE-Equity with settlement number: 2020240,2020-12-14,NSE-EQ - Z,Book Voucher,14321.667554,0.000000,16.498483
Funds added using UPI UM9226 with reference number 34915358328    ,2020-12-14,NSE-EQ - Z,Bank Receipts,0.000000,7000.000000,7016.498483
Net settlement  for  NSE-Equity with settlement number: 2020241,2020-12-15,NSE-EQ - Z,Book Voucher,6883.238331,0.000000,133.260152
Net settlement  for  NSE-Equity with settlement number: 2020243,2020-12-17,NSE-EQ - Z,Book Voucher,0.000000,3926.158697,4059.418849
DP Charges for sale of BURGERKING on 2020-12-17,2020-12-17,NSE-EQ - Z,Journal Entry,15.930000,0.000000,4043.488849
DP Charges for sale of BURGERKING on 2020-12-22,2020-12-22,NSE-EQ - Z,Journal Entry,15.930000,0.000000,4027.558849
Net settlement  for  NSE-Equity with settlement number: 2020246,2020-12-22,NSE-EQ - Z,Book Voucher,0.000000,1737.925734,5765.484583
Net settlement  for  NSE-Equity with settlement number: 2020248,2020-12-24,NSE-EQ - Z,Book Voucher,5767.682449,0.000000,-2.197866
Funds added using UPI UM9226 with reference number 100709894282    ,2021-01-07,NSE-EQ - Z,Bank Receipts,0.000000,8000.000000,7997.802134
Net settlement  for  NSE-Equity with settlement number: 2021005,2021-01-07,NSE-EQ - Z,Book Voucher,8004.836238,0.000000,-7.034104
Funds added using UPI UM9226 with reference number 101215795566    ,2021-01-12,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,9992.965896
Net settlement  for  NSE-Equity with settlement number: 2021008,2021-01-12,NSE-EQ - Z,Book Voucher,10006.323649,0.000000,-13.357753
Funds added using UPI UM9226 with reference number 103410164852    ,2021-02-03,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,4986.642247
Net settlement  for  NSE-Equity with settlement number: 2021023,2021-02-03,NSE-EQ - Z,Book Voucher,0.000000,3.788079,4990.430326
Funds added using UPI UM9226 with reference number 103509414911    ,2021-02-04,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,9990.430326
Net settlement  for  NSE-Equity with settlement number: 2021024,2021-02-04,NSE-EQ - Z,Book Voucher,4982.216861,0.000000,5008.213465
Funds added using UPI UM9226 with reference number 104010520554    ,2021-02-09,NSE-EQ - Z,Bank Receipts,0.000000,6500.000000,11508.213465
Net obligation for NSE Equity F&O,2021-02-09,NSE-F&O - Z,Book Voucher,3675.732936,0.000000,7832.480529
DP Charges for sale of TATAMOTORS on 2021-02-10,2021-02-10,NSE-EQ - Z,Journal Entry,15.930000,0.000000,7816.550529
Net settlement  for  NSE-Equity with settlement number: 2021028,2021-02-10,NSE-EQ - Z,Book Voucher,0.000000,7177.892098,14994.442627
Payout of 14994.0/- to CENTRAL BANK OF INDIA 3358357340 A/C number as per withdrawal request made on 2021-02-15,2021-02-15,NSE-EQ - Z,Bank Payments,14994.000000,0.000000,0.442627
DP Charges for sale of TATAMOTORS on 2021-02-19,2021-02-19,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-15.487373
Net settlement  for  NSE-Equity with settlement number: 2021035,2021-02-19,NSE-EQ - Z,Book Voucher,0.000000,1239.705224,1224.217851
Net obligation for NSE Equity F&O,2021-02-25,NSE-F&O - Z,Book Voucher,45.796354,0.000000,1178.421497
Net obligation for NSE Equity F&O,2021-03-04,NSE-F&O - Z,Book Voucher,0.000000,1511.966956,2690.388453
Net settlement  for  NSE-Equity with settlement number: 2021047,2021-03-09,NSE-EQ - Z,Book Voucher,2610.619255,0.000000,79.769198
Funds added using UPI UM9226 with reference number 107409110549    ,2021-03-15,NSE-EQ - Z,Bank Receipts,0.000000,1000.000000,1079.769198
AMC for Demat Account for 28-11-2020 to 27-02-2021,2021-03-24,NSE-EQ - Z,Journal Entry,88.500000,0.000000,991.269198
Net settlement  for  NSE-Equity with settlement number: 2021072,2021-04-19,NSE-EQ - Z,Book Voucher,977.102023,0.000000,14.167175
Funds added using UPI UM9226 with reference number 115312357573    ,2021-06-02,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,10014.167175
Net settlement  for  NSE-Equity with settlement number: 2021102,2021-06-02,NSE-EQ - Z,Book Voucher,9926.625364,0.000000,87.541811
Funds added using UPI UM9226 with reference number 117409638062    ,2021-06-23,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,5087.541811
Funds added using UPI UM9226 with reference number 117461681716    ,2021-06-23,NSE-EQ - Z,Bank Receipts,0.000000,8000.000000,13087.541811
